elite;level;exp;lmd;accumulated exp;accumulated lmd
0;1;0;0;0;0
0;2;100;30;100;30
0;3;117;36;217;66
0;4;134;43;351;109
0;5;151;50;502;159
0;6;168;57;670;216
0;7;185;65;855;281
0;8;202;73;1057;354
0;9;219;81;1276;435
0;10;236;90;1512;525
0;11;253;99;1765;624
0;12;270;108;2035;732
0;13;287;118;2322;850
0;14;304;128;2626;978
0;15;321;138;2947;1116
0;16;338;149;3285;1265
0;17;355;160;3640;1425
0;18;372;182;4012;1607
0;19;389;206;4401;1813
0;20;406;231;4807;2044
0;21;423;258;5230;2302
0;22;440;286;5670;2588
0;23;457;315;6127;2903
0;24;474;346;6601;3249
0;25;491;378;7092;3627
0;26;508;411;7600;4038
0;27;525;446;8125;4484
0;28;542;482;8667;4966
0;29;559;520;9226;5486
0;30;574;557;9800;6043
0;31;589;595;10389;6638
0;32;605;635;10994;7273
0;33;621;677;11615;7950
0;34;637;720;12252;8670
0;35;653;764;12905;9434
0;36;669;809;13574;10243
0;37;685;856;14259;11099
0;38;701;904;14960;12003
0;39;716;952;15676;12955
0;40;724;992;16400;13947
0;41;739;1042;17139;14989
0;42;749;1086;17888;16075
0;43;759;1131;18647;17206
0;44;770;1178;19417;18384
0;45;783;1229;20200;19613
0;46;804;1294;21004;20907
0;47;820;1353;21824;22260
0;48;836;1413;22660;23673
0;49;852;1474;23512;25147
0;50;888;1572;24400;26719
1;1;0;0;24400;26719
1;2;120;48;24520;26767
1;3;172;71;24692;26838
1;4;224;95;24916;26933
1;5;276;120;25192;27053
1;6;328;146;25520;27199
1;7;380;173;25900;27372
1;8;432;201;26332;27573
1;9;484;231;26816;27804
1;10;536;262;27352;28066
1;11;588;293;27940;28359
1;12;640;326;28580;28685
1;13;692;361;29272;29046
1;14;744;396;30016;29442
1;15;796;432;30812;29874
1;16;848;470;31660;30344
1;17;900;508;32560;30852
1;18;952;548;33512;31400
1;19;1004;589;34516;31989
1;20;1056;631;35572;32620
1;21;1108;675;36680;33295
1;22;1160;719;37840;34014
1;23;1212;765;39052;34779
1;24;1264;811;40316;35590
1;25;1316;859;41632;36449
1;26;1368;908;43000;37357
1;27;1420;958;44420;38315
1;28;1472;1010;45892;39325
1;29;1524;1062;47416;40387
1;30;1576;1116;48992;41503
1;31;1628;1171;50620;42674
1;32;1706;1245;52326;43919
1;33;1784;1322;54110;45241
1;34;1862;1400;55972;46641
1;35;1940;1480;57912;48121
1;36;2018;1562;59930;49683
1;37;2096;1645;62026;51328
1;38;2174;1731;64200;53059
1;39;2252;1817;66452;54876
1;40;2330;1906;68782;56782
1;41;2408;1996;71190;58778
1;42;2584;2171;73774;60949
1;43;2760;2349;76534;63298
1;44;2936;2531;79470;65829
1;45;3112;2717;82582;68546
1;46;3288;2907;85870;71453
1;47;3464;3100;89334;74553
1;48;3640;3298;92974;77851
1;49;3816;3499;96790;81350
1;50;3992;3705;100782;85055
1;51;4168;3914;104950;88969
1;52;4344;4127;109294;93096
1;53;4520;4344;113814;97440
1;54;4696;4565;118510;102005
1;55;4890;4807;123400;106812
1;56;5326;5294;128726;112106
1;57;6019;6049;134745;118155
1;58;6312;6413;141057;124568
1;59;6505;6681;147562;131249
1;60;6838;7098;154400;138347
1;61;7391;7753;161791;146100
1;62;7657;8116;169448;154216
1;63;7823;8378;177271;162594
1;64;8089;8752;185360;171346
1;65;8355;9132;193715;180478
1;66;8621;9518;202336;189996
1;67;8887;9909;211223;199905
1;68;9153;10306;220376;210211
1;69;9419;10709;229795;220920
1;70;9605;11027;239400;231947
2;1;0;0;239400;231947
2;2;191;76;239591;232023
2;3;303;124;239894;232147
2;4;415;173;240309;232320
2;5;527;225;240836;232545
2;6;639;279;241475;232824
2;7;751;334;242226;233158
2;8;863;392;243089;233550
2;9;975;451;244064;234001
2;10;1087;513;245151;234514
2;11;1199;577;246350;235091
2;12;1311;642;247661;235733
2;13;1423;710;249084;236443
2;14;1535;780;250619;237223
2;15;1647;851;252266;238074
2;16;1759;925;254025;238999
2;17;1871;1001;255896;240000
2;18;1983;1079;257879;241079
2;19;2095;1159;259974;242238
2;20;2207;1240;262181;243478
2;21;2319;1324;264500;244802
2;22;2431;1410;266931;246212
2;23;2543;1498;269474;247710
2;24;2655;1588;272129;249298
2;25;2767;1680;274896;250978
2;26;2879;1773;277775;252751
2;27;2991;1869;280766;254620
2;28;3103;1967;283869;256587
2;29;3215;2067;287084;258654
2;30;3327;2169;290411;260823
2;31;3439;2273;293850;263096
2;32;3602;2413;297452;265509
2;33;3765;2556;301217;268065
2;34;3928;2702;305145;270767
2;35;4091;2851;309236;273618
2;36;4254;3003;313490;276621
2;37;4417;3158;317907;279779
2;38;4580;3316;322487;283095
2;39;4743;3477;327230;286572
2;40;4906;3640;332136;290212
2;41;5069;3807;337205;294019
2;42;5232;3976;342437;297995
2;43;5395;4149;347832;302144
2;44;5558;4324;353390;306468
2;45;5721;4502;359111;310970
2;46;5884;4684;364995;315654
2;47;6047;4868;371042;320522
2;48;6210;5055;377252;325577
2;49;6373;5245;383625;330822
2;50;6536;5438;390161;336260
2;51;6699;5634;396860;341894
2;52;6902;5867;403762;347761
2;53;7105;6103;410867;353864
2;54;7308;6343;418175;360207
2;55;7511;6587;425686;366794
2;56;7714;6835;433400;373629
2;57;7917;7086;441317;380715
2;58;8120;7340;449437;388055
2;59;8323;7599;457760;395654
2;60;8526;7861;466286;403515
2;61;8729;8127;475015;411642
2;62;9163;8613;484178;420255
2;63;9597;9108;493775;429363
2;64;10031;9610;503806;438973
2;65;10465;10120;514271;449093
2;66;10899;10637;525170;459730
2;67;11333;11163;536503;470893
2;68;11767;11696;548270;482589
2;69;12201;12238;560471;494827
2;70;12729;12882;573200;507709
2;71;13069;13343;586269;521052
2;72;13747;14159;600016;535211
2;73;14425;14988;614441;550199
2;74;15103;15828;629544;566027
2;75;15781;16681;645325;582708
2;76;16459;17545;661784;600253
2;77;17137;18422;678921;618675
2;78;17815;19311;696736;637986
2;79;18493;20213;715229;658199
2;80;19171;21126;734400;679325
